"tick","Human Count","Zombie Count"
1.0,1,3
2.0,1,3
3.0,1,3
4.0,1,3
5.0,1,3
6.0,1,3
7.0,1,3
8.0,1,3
9.0,1,3
10.0,1,3
11.0,1,3
12.0,1,3
13.0,1,3
14.0,1,3
15.0,1,3
16.0,1,3
17.0,1,3
18.0,1,3
19.0,1,3
20.0,1,3
21.0,1,3
22.0,1,3
23.0,1,3
24.0,1,3
25.0,1,3
26.0,1,3
27.0,1,3
28.0,1,3
29.0,1,3
30.0,1,3
31.0,1,3
32.0,1,3
33.0,1,3
34.0,1,3
35.0,1,3
36.0,1,3
37.0,1,3
38.0,1,3
39.0,1,3
40.0,1,3
41.0,1,3
42.0,1,3
43.0,1,3
44.0,1,3
45.0,1,3
46.0,1,3
47.0,1,3
48.0,1,3
49.0,1,3
50.0,1,3
51.0,1,3
52.0,1,3
53.0,1,3
54.0,1,3
55.0,1,3
56.0,1,3
57.0,1,3
58.0,1,3
59.0,1,3
60.0,1,3
61.0,1,3
62.0,1,3
63.0,1,3
64.0,1,3
65.0,1,3
66.0,1,3
67.0,1,3
68.0,1,3
69.0,1,3
70.0,1,3
71.0,1,3
72.0,1,3
73.0,1,3
74.0,1,3
75.0,1,3
76.0,1,3
77.0,1,3
78.0,1,3
79.0,1,3
80.0,1,3
81.0,1,3
82.0,1,3
83.0,1,3
84.0,1,3
85.0,1,3
86.0,1,3
87.0,1,3
88.0,1,3
89.0,1,3
90.0,1,3
91.0,1,3
92.0,1,3
93.0,1,3
94.0,1,3
95.0,1,3
96.0,1,3
97.0,1,3
98.0,1,3
99.0,1,3
100.0,1,3
101.0,1,3
102.0,1,3
103.0,1,3
104.0,1,3
105.0,1,3
106.0,1,3
107.0,1,3
108.0,1,3
109.0,1,3
110.0,1,3
111.0,1,3
112.0,1,3
113.0,1,3
114.0,1,3
115.0,1,3
116.0,1,3
117.0,1,3
118.0,1,3
119.0,1,3
120.0,1,3
121.0,1,3
122.0,1,3
123.0,1,3
124.0,1,3
125.0,1,3
126.0,1,3
127.0,1,3
128.0,1,3
129.0,1,3
130.0,1,3
131.0,1,3
132.0,1,3
133.0,1,3
134.0,1,3
135.0,1,3
136.0,1,3
137.0,1,3
138.0,1,3
139.0,1,3
140.0,1,3
141.0,1,3
142.0,1,3
143.0,1,3
144.0,1,3
145.0,1,3
146.0,1,3
147.0,1,3
148.0,1,3
149.0,1,3
150.0,1,3
151.0,1,3
152.0,1,3
153.0,1,3
154.0,1,3
155.0,1,3
156.0,1,3
157.0,1,3
158.0,1,3
159.0,1,3
160.0,1,3
161.0,1,3
162.0,1,3
163.0,1,3
164.0,1,3
165.0,1,3
166.0,1,3
167.0,1,3
168.0,1,3
169.0,1,3
170.0,1,3
171.0,1,3
172.0,1,3
173.0,1,3
174.0,1,3
175.0,1,3
176.0,1,3
177.0,1,3
178.0,1,3
179.0,1,3
180.0,1,3
181.0,1,3
182.0,1,3
183.0,1,3
184.0,1,3
185.0,1,3
186.0,1,3
187.0,1,3
188.0,1,3
189.0,1,3
190.0,1,3
191.0,1,3
192.0,1,3
193.0,1,3
194.0,1,3
195.0,1,3
196.0,1,3
197.0,1,3
198.0,1,3
199.0,1,3
200.0,1,3
201.0,1,3
202.0,1,3
203.0,1,3
204.0,1,3
205.0,1,3
206.0,1,3
207.0,1,3
208.0,1,3
209.0,1,3
210.0,1,3
211.0,1,3
212.0,1,3
213.0,1,3
214.0,1,3
215.0,1,3
216.0,1,3
217.0,1,3
218.0,1,3
219.0,1,3
220.0,1,3
221.0,1,3
222.0,1,3
223.0,1,3
224.0,1,3
225.0,1,3
226.0,1,3
227.0,1,3
228.0,1,3
229.0,1,3
230.0,1,3
231.0,1,3
232.0,1,3
233.0,1,3
234.0,1,3
235.0,1,3
236.0,1,3
237.0,1,3
238.0,1,3
239.0,1,3
240.0,1,3
241.0,1,3
242.0,1,3
243.0,1,3
244.0,1,3
245.0,1,3
246.0,1,3
247.0,1,3
248.0,1,3
249.0,1,3
250.0,1,3
251.0,1,3
252.0,1,3
253.0,1,3
254.0,1,3
255.0,1,3
256.0,1,3
257.0,1,3
258.0,1,3
259.0,1,3
260.0,1,3
261.0,1,3
262.0,1,3
263.0,1,3
264.0,1,3
265.0,1,3
266.0,1,3
267.0,1,3
268.0,1,3
269.0,1,3
270.0,1,3
271.0,1,3
272.0,1,3
273.0,1,3
274.0,1,3
275.0,1,3
276.0,1,3
277.0,1,3
278.0,1,3
279.0,1,3
280.0,1,3
281.0,1,3
282.0,1,3
283.0,1,3
284.0,1,3
285.0,1,3
286.0,1,3
287.0,1,3
288.0,1,3
289.0,1,3
290.0,1,3
291.0,1,3
292.0,1,3
293.0,1,3
294.0,1,3
295.0,1,3
296.0,1,3
297.0,1,3
298.0,1,3
299.0,1,3
300.0,1,3
301.0,1,3
302.0,1,3
303.0,1,3
304.0,1,3
305.0,1,3
306.0,1,3
307.0,1,3
308.0,1,3
309.0,1,3
310.0,1,3
311.0,1,3
312.0,1,3
313.0,1,3
314.0,1,3
315.0,1,3
316.0,1,3
317.0,1,3
318.0,1,3
319.0,1,3
320.0,1,3
321.0,1,3
322.0,1,3
323.0,1,3
324.0,1,3
325.0,1,3
326.0,1,3
327.0,1,3
328.0,1,3
329.0,1,3
330.0,1,3
331.0,1,3
332.0,1,3
333.0,1,3
334.0,1,3
335.0,1,3
336.0,1,3
337.0,1,3
338.0,1,3
339.0,1,3
340.0,1,3
341.0,1,3
342.0,1,3
343.0,1,3
344.0,1,3
345.0,1,3
346.0,1,3
347.0,1,3
348.0,1,3
349.0,1,3
350.0,1,3
351.0,1,3
352.0,1,3
353.0,1,3
354.0,1,3
355.0,1,3
356.0,1,3
357.0,1,3
358.0,1,3
359.0,1,3
360.0,1,3
361.0,1,3
362.0,1,3
363.0,1,3
364.0,1,3
365.0,1,3
366.0,1,3
367.0,1,3
368.0,1,3
369.0,1,3
370.0,1,3
371.0,1,3
372.0,1,3
373.0,1,3
374.0,1,3
375.0,1,3
376.0,1,3
377.0,1,3
378.0,1,3
379.0,1,3
380.0,1,3
381.0,1,3
382.0,1,3
383.0,1,3
384.0,1,3
385.0,1,3
386.0,1,3
387.0,1,3
388.0,1,3
389.0,1,3
390.0,1,3
391.0,1,3
392.0,1,3
393.0,1,3
394.0,1,3
395.0,1,3
396.0,1,3
397.0,1,3
398.0,1,3
399.0,1,3
400.0,1,3
401.0,1,3
402.0,1,3
403.0,1,3
404.0,1,3
405.0,1,3
406.0,1,3
407.0,1,3
408.0,1,3
409.0,1,3
410.0,1,3
411.0,1,3
412.0,1,3
413.0,1,3
414.0,1,3
415.0,1,3
416.0,1,3
417.0,1,3
418.0,1,3
419.0,1,3
420.0,1,3
421.0,1,3
422.0,1,3
423.0,1,3
424.0,1,3
425.0,1,3
426.0,1,3
427.0,1,3
428.0,1,3
429.0,1,3
430.0,1,3
431.0,1,3
432.0,1,3
433.0,1,3
434.0,1,3
435.0,1,3
436.0,1,3
437.0,1,3
438.0,1,3
439.0,1,3
440.0,1,3
441.0,1,3
442.0,1,3
443.0,1,3
444.0,1,3
445.0,1,3
446.0,1,3
447.0,1,3
448.0,1,3
449.0,1,3
450.0,1,3
451.0,1,3
452.0,1,3
453.0,1,3
454.0,1,3
455.0,1,3
456.0,1,3
457.0,1,3
458.0,1,3
459.0,1,3
460.0,1,3
461.0,1,3
462.0,1,3
463.0,1,3
464.0,1,3
465.0,1,3
466.0,1,3
467.0,1,3
468.0,1,3
469.0,1,3
470.0,1,3
471.0,1,3
472.0,1,3
473.0,1,3
474.0,1,3
475.0,1,3
476.0,1,3
477.0,1,3
478.0,1,3
479.0,1,3
480.0,1,3
481.0,1,3
482.0,1,3
483.0,1,3
484.0,1,3
485.0,1,3
486.0,1,3
487.0,1,3
488.0,1,3
489.0,1,3
490.0,1,3
491.0,1,3
492.0,1,3
493.0,1,3
494.0,1,3
495.0,1,3
496.0,1,3
497.0,1,3
498.0,1,3
499.0,1,3
500.0,1,3
501.0,1,3
502.0,1,3
503.0,1,3
504.0,1,3
505.0,1,3
506.0,1,3
507.0,1,3
508.0,1,3
509.0,1,3
510.0,1,3
511.0,1,3
512.0,1,3
513.0,1,3
514.0,1,3
515.0,1,3
516.0,1,3
517.0,1,3
518.0,1,3
519.0,1,3
520.0,1,3
521.0,1,3
522.0,1,3
523.0,1,3
524.0,1,3
525.0,1,3
526.0,1,3
527.0,1,3
528.0,1,3
529.0,1,3
530.0,1,3
531.0,1,3
532.0,1,3
533.0,1,3
534.0,1,3
535.0,1,3
536.0,1,3
537.0,1,3
538.0,1,3
539.0,1,3
540.0,1,3
541.0,1,3
542.0,1,3
543.0,1,3
544.0,1,3
545.0,1,3
546.0,1,3
547.0,1,3
548.0,1,3
549.0,1,3
550.0,1,3
551.0,1,3
552.0,1,3
553.0,1,3
554.0,1,3
555.0,1,3
556.0,1,3
557.0,1,3
558.0,1,3
559.0,1,3
560.0,1,3
561.0,1,3
562.0,1,3
563.0,1,3
564.0,1,3
565.0,1,3
566.0,1,3
567.0,1,3
568.0,1,3
569.0,1,3
570.0,1,3
571.0,1,3
572.0,1,3
573.0,1,3
