"tick","Human Count","Zombie Count"
1.0,6,4
2.0,6,4
3.0,6,4
4.0,6,4
5.0,6,4
6.0,6,4
7.0,6,4
8.0,6,4
9.0,6,4
10.0,6,4
11.0,6,4
12.0,6,4
13.0,6,4
14.0,6,4
15.0,6,4
16.0,6,4
17.0,6,4
18.0,6,4
19.0,6,4
20.0,6,4
21.0,6,4
22.0,6,4
23.0,6,4
24.0,6,4
25.0,6,4
26.0,6,4
27.0,6,4
28.0,6,4
29.0,6,4
30.0,6,4
31.0,6,4
32.0,6,4
33.0,6,4
34.0,6,4
35.0,6,4
36.0,6,4
37.0,6,4
38.0,6,4
39.0,6,4
40.0,6,4
41.0,6,4
42.0,6,4
43.0,6,4
44.0,6,4
45.0,6,4
46.0,6,4
47.0,6,4
48.0,6,4
49.0,6,4
50.0,6,4
51.0,6,4
52.0,6,4
53.0,6,4
54.0,6,4
55.0,6,4
56.0,6,4
57.0,6,4
58.0,6,4
59.0,6,4
60.0,6,4
61.0,6,4
62.0,6,4
63.0,6,4
64.0,6,4
65.0,6,4
66.0,6,4
67.0,6,4
68.0,6,4
69.0,6,4
70.0,6,4
71.0,6,4
72.0,6,4
73.0,6,4
74.0,6,4
75.0,6,4
76.0,6,4
77.0,6,4
78.0,6,4
79.0,6,4
80.0,6,4
81.0,6,4
82.0,6,4
83.0,6,4
84.0,6,4
85.0,6,4
86.0,6,4
87.0,6,4
88.0,6,4
89.0,6,4
90.0,6,4
91.0,6,4
92.0,6,4
93.0,6,4
94.0,6,4
95.0,6,4
96.0,6,4
97.0,6,4
98.0,6,4
99.0,6,4
100.0,6,4
101.0,6,4
102.0,6,4
103.0,6,4
104.0,6,4
105.0,6,4
106.0,6,4
107.0,6,4
108.0,6,4
109.0,6,4
110.0,6,4
111.0,6,4
112.0,6,4
113.0,6,4
114.0,6,4
115.0,6,4
116.0,6,4
117.0,6,4
118.0,6,4
119.0,6,4
120.0,6,4
121.0,6,4
122.0,6,4
123.0,6,4
124.0,6,4
125.0,6,4
126.0,6,4
127.0,6,4
128.0,6,4
129.0,6,4
130.0,6,4
131.0,6,4
132.0,6,4
133.0,6,4
134.0,6,4
135.0,6,4
136.0,6,4
